source,candidate,station,y_mm,chord_mm,reflex_deg,twist_deg,hinge_xc,te_thickness_mm,hinge_gap_mm,speed_kmh,reynolds,ncrit,deflection_deg_te_down_positive,alpha_deg,cl,cd,cm_c4
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,-5.0,-1.800000,-0.5428000,0.0141500,0.0737000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,-5.0,-1.300000,-0.4973000,0.0129200,0.0758000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,-5.0,-0.800000,-0.4593000,0.0120200,0.0814000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,-5.0,-0.300000,-0.4075000,0.0121600,0.0839000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,-5.0,0.200000,-0.3546000,0.0122700,0.0860000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,-5.0,0.700000,-0.2978000,0.0124100,0.0871000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,-5.0,1.200000,-0.2372000,0.0125200,0.0874000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,-5.0,1.700000,-0.1738000,0.0126400,0.0868000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,-5.0,2.200000,-0.1073000,0.0127600,0.0854000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,-5.0,2.700000,-0.0320000,0.0129900,0.0822000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,-5.0,3.200000,0.0443000,0.0131600,0.0785000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,-5.0,3.700000,0.1003000,0.0130500,0.0783000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,-5.0,4.200000,0.1538000,0.0129700,0.0784000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,-5.0,4.700000,0.2075000,0.0129600,0.0784000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,-5.0,5.200000,0.2616000,0.0130100,0.0783000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,-5.0,5.700000,0.3154000,0.0131300,0.0782000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,-5.0,6.200000,0.3698000,0.0133300,0.0778000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,-5.0,6.700000,0.4290000,0.0136300,0.0764000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,-5.0,7.200000,0.4884000,0.0140200,0.0749000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,-5.0,7.700000,0.5475000,0.0145100,0.0732000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,-5.0,8.200000,0.6053000,0.0151000,0.0717000
